Gene_ID,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6,Patient7
ENSG00000277866,1,0,0,0,1,0,0
ENSG00000211445,55,93,33,52,114,77,31
ENSG00000145901,54,98,43,81,86,85,79
ENSG00000197043,773,731,568,888,709,1184,665
ENSG00000254298,0,0,0,0,0,1,1
ENSG00000285420,0,3,1,0,8,0,1
ENSG00000198624,21,56,27,16,44,43,44
ENSG00000196743,196,213,176,233,309,254,292
ENSG00000186334,0,4,1,4,5,1,6
ENSG00000186335,1,3,7,0,7,3,1
ENSG00000270904,0,0,0,1,0,0,0
ENSG00000253897,2,1,1,0,0,0,1
ENSG00000253472,0,0,1,0,0,0,1
ENSG00000271494,3,3,1,1,1,3,1
ENSG00000123643,186,305,234,333,209,308,241
ENSG00000200227,0,0,0,0,1,0,0
ENSG00000086570,85,68,73,95,80,137,121
ENSG00000271795,15,19,4,9,22,24,11
ENSG00000276622,1,0,0,0,0,1,1
ENSG00000260581,5,3,3,6,5,11,11
ENSG00000113140,418,494,457,242,732,487,413
ENSG00000249035,6,6,9,1,5,5,6
ENSG00000222102,2,0,2,1,1,0,3
ENSG00000272112,3,7,6,6,4,2,6
ENSG00000177556,41,48,31,55,42,37,90
ENSG00000253921,2,4,3,3,1,2,1
ENSG00000213433,4,9,7,4,8,3,1
ENSG00000275765,1,1,0,1,1,0,3
ENSG00000145907,441,486,428,399,826,555,758
ENSG00000145888,4,7,1,3,3,6,11
ENSG00000270978,29,64,27,84,57,78,236
ENSG00000222308,0,0,0,0,0,0,0
ENSG00000254226,2,3,7,2,6,3,3
ENSG00000132911,17,6,7,2,5,9,5
ENSG00000242080,1,1,0,1,0,0,3
ENSG00000249484,8,16,1,0,12,9,11
ENSG00000155511,1802,1548,1158,1639,1279,1807,1912
ENSG00000242976,15,2,4,4,4,5,6
ENSG00000251183,0,0,1,0,0,0,0
ENSG00000261382,0,0,1,0,0,0,0
ENSG00000055147,60,81,78,56,87,81,45
ENSG00000037749,129,140,120,120,149,120,117
ENSG00000164574,138,144,78,90,162,83,152
ENSG00000245275,4,8,2,2,5,9,5
ENSG00000253119,5,3,4,4,7,2,2
ENSG00000221430,0,0,0,0,0,0,0
ENSG00000241963,0,0,0,1,2,3,1
ENSG00000164576,163,248,238,151,206,235,339
ENSG00000113196,0,4,1,1,1,0,1
ENSG00000254293,0,0,0,0,0,1,1
ENSG00000253886,10,11,6,3,10,7,11
ENSG00000253146,3,5,11,2,2,1,2
ENSG00000264760,1,0,0,0,0,0,0
ENSG00000221552,0,1,2,1,1,2,1
ENSG00000274472,1,2,17,4,4,5,0
ENSG00000155506,1170,1414,993,1372,1213,1413,1312
ENSG00000272197,2,9,2,1,1,0,5
ENSG00000241187,2,4,3,2,4,0,1
ENSG00000170271,154,166,83,170,181,182,191
ENSG00000277039,1,5,4,8,2,5,0
ENSG00000263361,4,1,0,0,1,2,0
ENSG00000155508,278,259,202,212,343,279,295
ENSG00000082516,213,178,132,163,265,157,157
ENSG00000082515,62,84,71,62,110,81,74
ENSG00000253261,1,0,0,0,0,0,0
ENSG00000226650,11,7,5,9,10,10,11
ENSG00000253646,1,4,1,6,3,0,3
ENSG00000271477,0,1,2,2,1,0,3
ENSG00000270442,24,18,22,11,23,17,35
ENSG00000200275,0,0,3,0,0,0,0
ENSG00000170624,145,191,190,109,140,107,107
ENSG00000253370,0,1,0,0,0,0,0
ENSG00000254163,3,7,5,3,1,1,4
ENSG00000199468,0,0,0,0,0,0,0
ENSG00000231989,97,87,100,72,37,53,53
ENSG00000145850,1,0,1,0,1,3,5
ENSG00000270560,0,0,1,5,0,1,0
ENSG00000113249,5,13,5,2,6,5,13
ENSG00000135077,33,68,17,24,59,40,57
ENSG00000254246,0,0,0,0,2,0,1
ENSG00000155868,70,128,82,76,90,115,93
ENSG00000113263,8,7,14,9,5,6,1
ENSG00000170613,4,0,0,1,3,5,0
ENSG00000253980,0,0,0,1,0,0,0
ENSG00000253653,0,6,0,2,2,1,2
ENSG00000055163,2866,2855,2140,3110,2307,3769,2859
ENSG00000285868,20,22,9,15,19,19,19
ENSG00000172568,0,1,3,0,0,0,0
ENSG00000251405,23,12,16,12,16,13,15
ENSG00000248544,13,16,5,11,7,10,7
ENSG00000135074,83,137,69,96,56,107,91
ENSG00000253155,3,6,4,1,1,0,0
ENSG00000172548,5,5,11,7,29,13,27
ENSG00000253519,16,9,14,14,11,24,6
ENSG00000252068,0,0,0,0,0,0,0
ENSG00000254336,0,5,1,5,0,1,1
ENSG00000039600,4,2,1,5,5,1,3
ENSG00000187658,1,1,1,0,0,0,0
ENSG00000253798,0,0,0,0,0,0,0
ENSG00000113272,23,21,17,16,17,25,26
ENSG00000155858,229,279,353,197,185,292,227
ENSG00000253630,0,0,1,6,2,1,0
ENSG00000113282,417,338,456,321,400,366,396
ENSG00000206819,0,0,0,0,0,0,2
ENSG00000244331,16,5,0,3,3,2,2
ENSG00000222626,12,3,5,0,12,7,20
ENSG00000253743,3,4,13,0,1,0,1
ENSG00000213414,4,2,14,1,8,14,7
ENSG00000253422,0,0,0,0,0,0,1
ENSG00000253792,0,0,0,0,0,0,0
ENSG00000253673,0,0,1,0,1,0,1
ENSG00000254047,0,0,0,0,0,0,1
ENSG00000253449,0,1,0,0,0,1,0
ENSG00000253424,0,0,0,0,0,1,0
ENSG00000253134,0,0,0,0,0,0,0
ENSG00000276778,8,7,4,0,0,0,1
ENSG00000254350,0,0,1,0,0,0,0
ENSG00000272085,0,0,0,0,0,0,1
ENSG00000254135,0,1,1,0,2,0,0
ENSG00000164330,20,31,30,12,56,23,12
ENSG00000253811,1,3,2,0,4,0,0
ENSG00000253456,2,0,2,0,0,0,1
ENSG00000245812,3,1,1,0,1,2,0
ENSG00000279204,2,0,5,0,2,0,0
ENSG00000145860,241,274,352,286,279,337,265
ENSG00000253256,0,0,0,0,0,1,0
ENSG00000253315,0,1,0,0,0,1,0
ENSG00000252458,0,0,1,1,0,1,0
ENSG00000164332,117,136,167,125,126,119,101
ENSG00000249738,13,31,26,19,9,29,17
ENSG00000113302,2,2,1,3,1,4,2
ENSG00000221601,2,2,0,2,0,2,1
ENSG00000253298,4,11,5,1,0,3,0
ENSG00000283413,0,12,4,3,0,1,0
ENSG00000253311,3,28,4,6,5,3,12
ENSG00000170214,22,34,30,36,23,57,8
ENSG00000248626,96,91,99,122,75,198,83
ENSG00000199398,1,1,2,0,13,0,0
ENSG00000113312,189,212,190,231,184,279,255
ENSG00000223908,9,10,3,17,6,0,19
ENSG00000170234,100,181,130,149,204,118,141
ENSG00000170231,0,7,0,60,0,3,2
ENSG00000247699,1,2,2,1,2,2,1
ENSG00000253772,1,2,1,1,0,0,3
ENSG00000135083,11,21,10,9,14,18,25
ENSG00000254373,64,79,25,29,22,25,26
ENSG00000270612,3,2,2,2,2,1,0
ENSG00000145861,9,15,3,2,9,7,3
ENSG00000221886,75,71,62,62,85,82,72
ENSG00000164609,523,417,469,391,505,570,481
ENSG00000164611,15,15,5,16,14,19,7
ENSG00000253522,2,4,3,9,0,1,5
ENSG00000265237,4,1,0,0,0,0,0
ENSG00000283733,0,0,0,0,0,0,0
ENSG00000118322,103,123,62,88,124,130,260
ENSG00000253687,4,2,1,0,4,4,6
ENSG00000254391,0,2,0,2,4,6,4
ENSG00000253417,0,1,1,0,0,0,0
ENSG00000145864,2043,2575,3193,2353,1557,2703,1498
ENSG00000145863,9,10,9,7,4,11,13
ENSG00000253403,0,0,0,0,0,0,0
ENSG00000118990,0,1,0,0,0,0,0
ENSG00000022355,1940,1931,3044,2046,1278,2748,1103
ENSG00000280776,11,20,27,11,7,37,1
ENSG00000113327,1284,1487,1658,1216,984,1742,1075
ENSG00000254186,10,14,9,7,13,10,17
ENSG00000201474,1,0,0,0,1,1,0
ENSG00000254351,1,1,0,0,0,0,1
ENSG00000249449,0,0,0,0,0,0,0
ENSG00000250114,0,1,0,0,0,1,0
ENSG00000113328,161,197,203,145,321,162,170
ENSG00000170584,134,189,161,126,188,137,159
ENSG00000072571,3,0,1,3,0,5,2
ENSG00000251018,1,0,0,0,0,0,0
ENSG00000038274,340,379,399,395,342,468,360
ENSG00000285590,1,1,2,0,0,0,0
ENSG00000224012,2,0,0,0,0,0,0
ENSG00000251998,1,0,0,0,0,0,0
ENSG00000273569,3,1,1,0,0,2,1
ENSG00000271679,0,0,0,0,0,0,1
ENSG00000253331,1,1,0,0,1,0,0
ENSG00000253538,0,0,0,0,0,0,0
ENSG00000241956,52,54,38,57,29,24,29
ENSG00000253236,5,2,1,0,3,5,0
ENSG00000253600,0,0,0,0,0,0,0
ENSG00000206845,1,0,0,0,0,1,1
ENSG00000285549,1,3,5,1,1,0,3
ENSG00000254066,9,6,4,8,3,7,6
ENSG00000253693,8,9,4,7,8,2,1
ENSG00000252794,1,0,0,0,0,0,0
ENSG00000253512,5,1,4,6,4,9,1
ENSG00000253946,0,0,0,6,0,2,2
ENSG00000254252,8,12,9,16,4,7,2
ENSG00000254171,0,1,0,1,1,1,0
ENSG00000229119,34,57,39,38,46,63,127
ENSG00000254130,2,0,1,1,0,0,1
ENSG00000253713,8,4,3,1,8,5,1
ENSG00000253469,9,8,4,5,3,2,2
ENSG00000145934,610,492,373,599,511,747,691
ENSG00000254365,4,5,2,1,3,1,1
ENSG00000254297,2,2,2,0,1,3,3
ENSG00000253527,4,3,0,0,0,4,0
ENSG00000254187,35,27,15,17,27,21,15
ENSG00000253357,14,15,4,10,13,12,8
ENSG00000253660,10,5,4,4,4,9,4
ENSG00000253947,5,14,0,12,7,4,4
ENSG00000253065,39,50,95,21,37,27,5
ENSG00000253925,17,11,12,6,4,8,12
ENSG00000279739,7,8,8,8,2,5,3
ENSG00000253978,6,11,8,4,6,2,1
ENSG00000113645,338,361,187,207,296,308,275
ENSG00000113643,195,227,191,144,187,246,159
ENSG00000188573,22,26,22,81,29,63,24
ENSG00000120137,911,1034,1148,737,1034,747,676
ENSG00000253861,0,0,0,0,0,0,0
ENSG00000199035,0,6,2,2,5,1,2
ENSG00000283612,0,0,0,0,0,0,0
ENSG00000233913,177,188,47,129,158,136,154
ENSG00000254192,0,1,3,2,0,0,0
ENSG00000184347,287,233,194,205,210,300,349
ENSG00000254042,19,7,13,7,6,12,11
ENSG00000207739,153,81,552,107,199,134,100
ENSG00000202345,0,0,0,0,0,0,0
ENSG00000248965,7,6,2,7,1,1,1
ENSG00000279752,4,1,6,6,8,2,14
ENSG00000248222,26,36,11,14,14,17,16
ENSG00000207619,0,0,0,0,0,1,0
ENSG00000206614,0,0,0,2,0,0,0
ENSG00000040275,51,62,32,38,46,39,59
ENSG00000134516,61,121,40,26,77,65,87
ENSG00000253269,2,0,2,0,1,0,0
ENSG00000204767,100,70,78,65,87,62,74
ENSG00000263831,1,0,0,0,0,0,0
ENSG00000168269,2,1,1,1,2,0,0
ENSG00000253219,0,3,0,3,3,2,0
ENSG00000249601,1,3,1,1,0,0,0
ENSG00000234511,3,1,4,0,4,5,6
ENSG00000043462,33,74,35,28,66,29,63
ENSG00000250274,2,6,0,2,1,1,4
ENSG00000235172,0,0,0,0,0,0,0
ENSG00000182132,47,79,42,53,52,95,42
ENSG00000145936,13,24,14,13,8,14,5
ENSG00000253647,0,3,2,0,3,3,1
ENSG00000253858,1,4,1,0,0,0,0
ENSG00000253591,2,6,5,6,2,8,4
ENSG00000253348,0,0,1,0,2,1,0
ENSG00000094755,1,5,1,0,3,3,7
ENSG00000204764,57,100,71,83,60,83,72
ENSG00000244501,0,2,0,2,0,0,0
ENSG00000253966,2,5,4,1,2,2,2
ENSG00000253213,13,21,17,17,14,15,18
ENSG00000275038,2,0,0,1,1,1,3
ENSG00000164438,0,2,1,0,0,1,0
ENSG00000213393,0,0,0,0,0,0,1
ENSG00000265740,0,1,0,1,0,0,0
ENSG00000254256,0,2,0,0,0,0,0
ENSG00000206909,9,13,2,4,2,7,7
ENSG00000254012,8,5,12,6,4,14,6
ENSG00000264249,0,0,2,0,0,0,0
ENSG00000181163,315,359,254,242,373,390,541
ENSG00000156427,2,4,5,2,1,0,3
ENSG00000285914,8,2,1,7,7,2,2
ENSG00000253110,1,1,1,5,2,2,0
ENSG00000185662,0,1,2,0,0,0,0
ENSG00000072803,648,848,737,718,838,864,855
ENSG00000072786,67,70,40,36,80,35,65
ENSG00000214360,1,0,0,0,0,0,0
ENSG00000168246,63,102,66,62,72,65,92
ENSG00000212529,2,0,0,0,0,0,0
ENSG00000253218,3,5,5,3,11,4,8
ENSG00000174705,124,188,98,129,286,155,319
ENSG00000254299,0,1,1,0,21,1,0
ENSG00000280318,0,0,0,1,0,0,0
ENSG00000214357,69,106,73,100,70,81,65
ENSG00000253683,20,39,16,28,25,25,29
ENSG00000265160,0,0,0,1,0,0,0
ENSG00000253445,0,0,0,0,0,0,0
ENSG00000253295,0,1,0,0,0,0,1
ENSG00000213386,0,0,0,0,0,0,2
ENSG00000253736,2,3,3,0,0,0,0
ENSG00000120129,114,202,124,125,324,155,127
ENSG00000206741,0,0,0,0,1,0,0
ENSG00000270243,0,0,0,0,0,0,0
ENSG00000253628,0,0,0,0,2,0,0
ENSG00000113719,196,323,172,212,260,230,235
ENSG00000204758,4,5,13,7,7,4,9
ENSG00000254295,0,2,0,0,0,0,2
ENSG00000037241,17,23,12,27,17,30,21
ENSG00000253785,53,41,60,45,45,37,46
ENSG00000113732,129,92,118,115,231,139,139
ENSG00000254328,2,2,0,2,0,4,3
ENSG00000212402,1201,1654,982,1344,1076,1644,1263
ENSG00000207210,0,0,0,0,1,0,0
ENSG00000164463,472,623,621,365,607,608,557
ENSG00000253439,25,23,20,13,8,22,34
ENSG00000253172,0,0,1,0,0,0,0
ENSG00000113734,31,37,20,37,35,31,45
ENSG00000254200,2,2,2,1,0,0,1
ENSG00000183072,1,4,1,1,2,1,2
ENSG00000201277,50,9,45,62,12,46,17
ENSG00000252169,3,0,0,0,0,0,1
ENSG00000113739,3,4,8,2,6,11,11
ENSG00000274994,0,0,0,0,0,0,1
ENSG00000199219,0,0,0,0,0,0,0
ENSG00000253968,0,0,1,0,0,0,0
ENSG00000253141,1,3,0,1,0,0,1
ENSG00000253768,0,3,0,0,2,1,2
ENSG00000254164,0,0,1,2,5,0,3
ENSG00000253955,7,21,16,11,6,7,14
ENSG00000145919,93,81,213,83,68,107,134
ENSG00000253959,0,0,1,1,0,5,0
ENSG00000253428,1,0,1,1,2,4,2
ENSG00000253686,16,25,13,3,13,11,2
ENSG00000254211,3,1,0,0,0,3,1
ENSG00000113742,1813,1535,1909,1255,1825,1319,1221
ENSG00000185056,1,6,14,5,1,2,2
ENSG00000253109,1,0,1,0,0,2,0
ENSG00000170091,830,675,870,789,582,938,408
ENSG00000253244,5,2,7,0,6,3,3
ENSG00000253447,10,17,7,5,3,8,6
ENSG00000254011,1,0,0,0,0,2,0
ENSG00000249722,0,0,0,0,1,0,0
ENSG00000249306,19,30,22,10,52,36,9
ENSG00000213376,30,29,79,24,57,49,25
ENSG00000249031,6,4,7,7,5,5,2
ENSG00000250256,0,2,1,0,0,0,0
ENSG00000248929,1,1,0,1,2,1,1
ENSG00000120149,9,8,10,0,13,12,4
ENSG00000251670,1,0,0,0,0,0,1
ENSG00000266890,0,0,2,0,0,0,0
ENSG00000251144,0,0,0,0,0,0,0
ENSG00000204754,1,0,4,1,2,0,0
ENSG00000251122,5,2,4,2,5,2,2
ENSG00000248293,1,1,1,0,0,0,3
ENSG00000249403,0,1,1,0,0,0,0
ENSG00000248355,2,0,0,0,0,1,0
ENSG00000184845,103,56,87,100,86,98,101
ENSG00000164466,359,497,505,408,383,533,452
ENSG00000270839,0,1,3,4,3,0,1
ENSG00000222111,3,0,0,0,1,1,2
ENSG00000113749,156,240,177,163,126,175,114
ENSG00000200648,2,3,4,0,3,0,0
ENSG00000145920,2980,3174,3015,2296,2377,3407,3052
ENSG00000280068,4,2,2,1,1,1,1
ENSG00000250820,6,1,5,1,3,2,0
ENSG00000051596,61,74,71,93,87,100,67
ENSG00000250801,1,0,2,0,2,2,1
ENSG00000272494,0,0,1,0,0,0,0
ENSG00000250992,1,0,2,3,4,2,0
ENSG00000248469,39,46,33,25,35,32,22
ENSG00000182230,156,271,163,155,145,157,112
ENSG00000285476,211,215,140,110,112,132,41
ENSG00000251623,43,47,26,19,27,30,20
ENSG00000251458,0,0,0,0,0,0,0
ENSG00000248596,0,6,0,0,1,2,7
ENSG00000283559,0,0,0,0,1,0,0
ENSG00000283235,3,6,1,0,4,1,0
ENSG00000270989,0,1,0,2,0,1,0
ENSG00000170085,136,177,118,127,149,184,173
ENSG00000251667,10,11,14,11,17,13,9
ENSG00000122203,328,392,330,321,360,348,318
ENSG00000250909,4,3,3,0,2,0,4
ENSG00000251414,3,12,2,2,5,4,5
ENSG00000175414,336,455,431,361,314,350,344
ENSG00000221464,3,2,1,1,2,0,1
ENSG00000048162,31,32,16,28,33,29,36
ENSG00000146066,40,26,15,31,20,28,32
ENSG00000175416,165,122,97,131,112,214,142
ENSG00000280139,0,0,0,0,0,0,0
ENSG00000113194,212,259,234,245,306,256,262
ENSG00000146083,282,386,315,340,312,418,251
ENSG00000074276,30,45,20,33,31,50,25
ENSG00000243959,1,1,0,5,1,2,2
ENSG00000207420,1,4,11,14,3,6,3
ENSG00000169258,190,253,182,232,245,365,333
ENSG00000074317,369,299,348,399,334,465,304
ENSG00000266329,0,0,0,0,0,0,1
ENSG00000175766,13,18,10,14,11,14,32
ENSG00000048140,158,141,151,124,130,124,115
ENSG00000248484,0,0,0,0,0,1,0
ENSG00000251446,0,0,0,0,0,0,2
ENSG00000248859,18,11,12,8,15,9,18
ENSG00000113763,274,256,208,328,215,407,280
ENSG00000160883,4,13,1,4,14,7,13
ENSG00000087206,118,220,96,116,207,161,173
ENSG00000113761,119,146,114,139,120,128,118
ENSG00000251666,7,20,11,14,11,11,8
ENSG00000160867,4,6,2,2,9,6,12
ENSG00000165671,710,814,640,594,706,700,657
ENSG00000240729,6,13,16,9,17,9,12
ENSG00000270706,3,5,1,1,6,3,3
ENSG00000169228,5,3,6,7,4,7,5
ENSG00000213347,12,9,2,5,19,9,6
ENSG00000169230,47,43,22,38,43,54,42
ENSG00000169223,61,45,38,67,61,68,71
ENSG00000239393,12,12,11,3,13,2,7
ENSG00000169220,73,69,43,36,60,78,41
ENSG00000131183,1,2,1,2,2,0,0
ENSG00000196570,0,1,0,1,0,0,0
ENSG00000131187,7,6,6,11,9,13,10
ENSG00000198055,57,72,47,87,76,73,163
ENSG00000246334,11,17,6,9,12,6,31
ENSG00000131188,8,19,25,30,23,36,33
ENSG00000113758,289,220,442,259,380,312,294
ENSG00000279821,6,5,2,2,6,2,1
ENSG00000196923,22,15,12,22,25,29,18
ENSG00000248996,0,3,0,0,4,0,0
ENSG00000146094,28,18,1,16,28,8,5
ENSG00000183258,139,105,92,122,109,131,117
ENSG00000146067,236,291,135,159,237,215,231
ENSG00000272459,3,2,2,2,0,2,0
ENSG00000184840,63,66,43,91,74,110,88
ENSG00000027847,62,49,40,69,60,80,82
ENSG00000247679,20,35,14,32,39,31,31
ENSG00000246596,99,107,50,98,89,106,110
ENSG00000249849,7,3,5,2,1,2,1
ENSG00000170074,619,899,450,434,478,586,294
ENSG00000249109,28,39,28,16,31,25,25
ENSG00000248943,0,0,2,2,4,1,0
ENSG00000170089,64,66,72,83,71,84,65
ENSG00000214351,0,0,0,0,0,0,0
ENSG00000249186,1,0,2,1,2,2,1
ENSG00000250101,3,2,1,1,3,1,0
ENSG00000249684,43,33,32,31,49,40,13
ENSG00000280207,18,7,1,3,4,7,9
ENSG00000249129,29,35,29,44,54,33,21
ENSG00000175325,9,4,2,1,9,8,1
ENSG00000204677,938,1488,846,808,827,981,522
ENSG00000218227,0,0,0,0,0,0,0
ENSG00000145911,47,104,41,60,58,84,47
ENSG00000145916,133,166,127,182,160,188,185
ENSG00000145912,12,22,13,38,15,15,6
ENSG00000251211,0,7,3,2,0,5,2
ENSG00000244234,15,25,23,12,12,13,19
ENSG00000197451,61,60,60,95,99,104,83
ENSG00000175309,117,163,64,112,166,116,122
ENSG00000050767,11,17,27,22,15,15,8
ENSG00000271681,2,1,2,0,4,0,0
ENSG00000253698,3,1,0,0,0,0,1
ENSG00000242341,1,0,0,0,0,1,0
ENSG00000245688,2,4,3,5,3,1,0
ENSG00000113240,480,394,408,448,481,586,434
ENSG00000252464,5,0,1,0,1,0,2
ENSG00000285978,1,0,1,0,1,1,1
ENSG00000285891,0,0,0,0,0,0,0
ENSG00000169131,21,28,25,18,32,25,31
ENSG00000250420,4,9,3,3,2,6,3
ENSG00000274813,0,0,0,0,0,0,0
ENSG00000253725,0,0,0,0,0,0,1
ENSG00000278441,0,0,0,0,0,0,0
ENSG00000178338,80,72,44,51,81,60,84
ENSG00000206624,0,0,0,0,0,0,0
ENSG00000198939,38,72,36,13,33,31,31
ENSG00000213328,11,17,9,15,5,9,27
ENSG00000253869,29,18,36,9,23,6,16
ENSG00000272431,3,0,3,0,2,1,0
ENSG00000178187,49,57,41,33,39,33,56
ENSG00000254035,1,7,0,4,5,4,3
ENSG00000113262,23,29,13,61,24,18,14
ENSG00000254158,9,4,4,7,3,1,18
ENSG00000234284,30,37,29,28,40,32,53
ENSG00000177932,96,92,79,68,154,114,82
ENSG00000253144,0,0,0,0,0,0,0
ENSG00000087116,17,14,7,5,24,34,76
ENSG00000253979,0,0,0,0,0,0,0
ENSG00000253163,0,0,0,0,0,0,0
ENSG00000253617,1,1,1,0,1,0,0
ENSG00000250674,0,0,0,0,0,0,0
ENSG00000274716,5,0,3,0,2,3,0
ENSG00000253652,0,3,2,0,1,2,0
ENSG00000251545,0,0,0,0,0,1,0
ENSG00000253520,0,0,0,0,1,0,1
ENSG00000176783,95,132,109,112,175,135,106
ENSG00000249140,4,4,3,7,3,13,1
ENSG00000244945,7,18,3,7,6,5,7
ENSG00000169045,742,818,512,540,896,811,741
ENSG00000273549,2,9,2,3,8,2,0
ENSG00000204661,1,0,3,4,2,1,1
ENSG00000228259,1,0,1,1,0,0,0
ENSG00000250999,2,7,7,5,10,6,2
ENSG00000204659,5,5,1,6,7,4,12
ENSG00000127022,2403,2544,2336,2193,3346,2986,2412
ENSG00000225051,6,5,15,5,2,9,5
ENSG00000161021,179,230,115,162,201,174,212
ENSG00000213316,4,13,12,4,4,3,3
ENSG00000161013,193,141,101,177,126,163,198
ENSG00000221394,2,0,4,1,2,0,3
ENSG00000161011,585,484,542,801,967,831,545
ENSG00000161010,122,131,109,109,170,106,144
ENSG00000222448,13,17,12,56,26,35,25
ENSG00000252202,3,0,4,2,5,3,1
ENSG00000245317,6,11,6,8,5,5,11
ENSG00000197226,695,824,548,738,696,804,823
ENSG00000113269,675,756,632,557,807,641,873
ENSG00000242979,0,2,0,3,9,0,3
ENSG00000249876,7,4,10,6,8,3,2
ENSG00000249412,6,17,8,6,6,3,12
ENSG00000285865,35,21,19,18,35,16,45
ENSG00000198995,46,36,304,46,62,39,43
ENSG00000278965,6,1,0,1,1,1,2
ENSG00000253480,2,3,4,2,0,0,0
ENSG00000146090,17,47,31,19,18,11,23
ENSG00000229721,5,1,0,1,3,5,3
ENSG00000050748,794,994,879,1014,568,1080,928
ENSG00000253908,6,9,5,6,11,9,2
ENSG00000248367,5,2,1,0,2,1,3
ENSG00000131459,107,123,65,86,144,147,108
ENSG00000250509,0,0,0,0,0,0,0
ENSG00000200555,0,0,1,0,0,0,0
ENSG00000113300,308,310,340,237,398,257,263
ENSG00000250749,0,0,0,0,0,1,3
ENSG00000161055,0,1,0,2,0,0,0
ENSG00000037280,5,19,18,13,33,11,10
ENSG00000251352,0,0,0,0,0,0,0
ENSG00000248717,0,0,0,0,0,0,0
ENSG00000236791,0,0,1,0,0,0,0
ENSG00000199892,3,1,0,0,2,1,2
ENSG00000174339,1,0,1,0,0,1,0
ENSG00000131446,154,259,151,130,201,191,308
ENSG00000280161,0,2,2,1,0,1,0
ENSG00000278970,16,10,15,9,23,9,17
ENSG00000245060,42,23,28,31,55,36,29
ENSG00000286128,7,2,4,11,2,6,5
ENSG00000196670,102,94,86,88,127,91,68
ENSG00000113303,9,3,2,1,1,1,0
ENSG00000222852,0,0,1,0,0,0,2
ENSG00000243664,3,3,0,0,0,1,0
ENSG00000249287,0,3,0,0,0,2,0
ENSG00000248761,0,3,1,2,0,0,1
ENSG00000231228,6,22,8,2,7,9,43
ENSG00000168903,2,1,1,1,0,0,2
ENSG00000206686,0,0,0,0,0,0,0
ENSG00000165810,37,49,113,45,57,42,50
ENSG00000277912,0,0,0,0,0,0,0
ENSG00000241870,5,0,2,0,1,0,1
ENSG00000214295,0,2,1,2,3,1,5
ENSG00000248560,1,0,3,2,0,0,4
ENSG00000185372,2,1,2,1,0,0,1
ENSG00000182613,3,4,4,0,2,0,4
ENSG00000248473,169,58,193,72,129,64,39
ENSG00000250222,0,7,0,1,1,4,0
ENSG00000146054,21,24,22,22,24,19,8
ENSG00000250900,0,1,1,0,3,1,2
ENSG00000248514,0,3,0,0,1,0,0
ENSG00000146063,157,238,117,173,156,163,262
ENSG00000264732,0,0,0,0,0,0,0
ENSG00000247049,0,0,0,0,0,0,0
ENSG00000204628,297,392,184,418,352,382,422
ENSG00000272296,0,0,0,0,0,0,0
ENSG00000264549,0,0,0,0,0,0,0
ENSG00000233937,5,7,2,2,0,5,6
ENSG00000183718,118,124,87,88,131,94,86
ENSG00000248275,7,4,3,18,5,12,15
ENSG00000248103,2,3,2,2,3,3,1
ENSG00000274525,6,7,8,5,16,17,3
ENSG00000222533,3,1,3,0,1,2,0
ENSG00000238035,44,64,27,65,65,78,89
ENSG00000274553,6,18,1,12,11,8,5
ENSG00000250765,3,3,19,18,15,14,10
ENSG00000230178,10,8,6,3,2,2,8
ENSG00000251035,1,2,1,1,0,0,0
ENSG00000213285,1,11,3,4,4,1,8
ENSG00000271530,1,2,6,1,1,1,0
ENSG00000220212,2,5,4,2,2,2,5
ENSG00000217929,8,47,34,34,37,20,22
ENSG00000218577,8,3,6,3,6,0,1
ENSG00000263667,3,10,3,6,3,0,4
ENSG00000285578,14,24,34,17,28,0,18
ENSG00000205653,1,5,2,0,0,1,3
ENSG00000112679,102,159,129,108,147,139,106
ENSG00000137265,7,7,22,3,4,1,5
ENSG00000112685,414,382,325,267,395,474,341
ENSG00000230433,3,6,3,4,5,8,15
ENSG00000188996,3,1,0,3,1,0,0
ENSG00000219712,7,3,2,1,8,4,1
ENSG00000272463,5,17,12,7,18,6,10
ENSG00000271727,2,3,1,6,5,16,6
ENSG00000271911,6,16,10,4,3,18,7
ENSG00000272485,26,9,2,8,8,2,3
ENSG00000276687,0,0,3,1,1,2,2
ENSG00000278343,1,0,0,0,0,0,0
ENSG00000270937,0,3,1,1,0,0,4
ENSG00000176515,8,4,6,4,1,1,0
ENSG00000164379,1,17,9,7,19,5,2
ENSG00000281809,1,0,0,0,0,1,0
ENSG00000261730,0,1,4,1,1,1,2
ENSG00000137273,19,11,20,13,16,15,14
ENSG00000275859,0,0,0,0,0,0,0
ENSG00000243439,0,0,1,0,0,0,0
ENSG00000218027,9,11,0,1,6,3,6
ENSG00000272279,0,2,3,5,8,1,0
ENSG00000280916,2,9,1,5,2,0,6
ENSG00000054598,32,58,31,20,166,34,22
ENSG00000112699,39,46,27,19,39,30,31
ENSG00000285603,1,7,4,2,5,8,3
ENSG00000250903,92,119,50,68,102,113,93
ENSG00000236086,2,3,0,0,2,4,8
ENSG00000272465,6,3,0,8,1,4,0
ENSG00000280423,1,5,0,5,5,9,2
ENSG00000228718,5,4,2,0,11,2,5
ENSG00000164385,11,19,7,4,30,3,13
ENSG00000145949,15,22,22,30,22,39,53
ENSG00000124535,112,78,84,103,76,142,111
